CustomSetId,Name,Dimension,ParentIds
Atron,Atron,Location,
Indinia,Indinia,Location,
Hinterlantis,Hinterlantis,Location,
Acherokee,Acherokee,Location,
Finlantica,Finlantica,Location,
Laharia,Laharia,Location,
Californi,Californi,Location,
Funkatrali,Funkatrali,Location,
Kergueland,Kergueland,Location,
Finlandi,Finlandi,Location,
Brittai,Brittai,Location,
Dorcheste,Dorcheste,Location,
Freedondwana,Freedondwana,Location,
Pannotica,Pannotica,Location,
Lauransylv,Lauransylv,Location,
Celesterland,Celesterland,Location,
Harbouropia,Harbouropia,Location,
Siberland,Siberland,Location,
Panemurentia,Panemurentia,Location,
Kenormland,Kenormland,Location,
Cumber,Cumber,Location,
Balticelia,Balticelia,Location,
Haria,Haria,Location,
Pacificali,Pacificali,Location,
Harbouria,Harbouria,Location,
Atlandinia,Atlandinia,Location,
Antica,Antica,Location,
Gondwanem,Gondwanem,Location,
Spotsy,Spotsy,Location,
Arbour,Arbour,Location,
Harboreedonia,Harboreedonia,Location,
Lauralifo,Lauralifo,Location,
Pannorland,Pannorland,Location,
Congondlantica,Congondlantica,Location,
Celestica,Celestica,Location,
Westerlantis,Westerlantis,Location,
Oceani,Oceani,Location,
Rockda,Rockda,Location,
Istopi,Istopi,Location,
Arcalifo,Arcalifo,Location,
North-Atron,North-Atron,Location,Atron
East-Atron,East-Atron,Location,Atron
South-Atron,South-Atron,Location,Atron
West-Atron,West-Atron,Location,Atron
North-Indinia,North-Indinia,Location,Indinia
East-Indinia,East-Indinia,Location,Indinia
South-Indinia,South-Indinia,Location,Indinia
West-Indinia,West-Indinia,Location,Indinia
North-Hinterlantis,North-Hinterlantis,Location,Hinterlantis
East-Hinterlantis,East-Hinterlantis,Location,Hinterlantis
South-Hinterlantis,South-Hinterlantis,Location,Hinterlantis
West-Hinterlantis,West-Hinterlantis,Location,Hinterlantis
North-Acherokee,North-Acherokee,Location,Acherokee
East-Acherokee,East-Acherokee,Location,Acherokee
South-Acherokee,South-Acherokee,Location,Acherokee
West-Acherokee,West-Acherokee,Location,Acherokee
North-Finlantica,North-Finlantica,Location,Finlantica
East-Finlantica,East-Finlantica,Location,Finlantica
South-Finlantica,South-Finlantica,Location,Finlantica
West-Finlantica,West-Finlantica,Location,Finlantica
North-Laharia,North-Laharia,Location,Laharia
East-Laharia,East-Laharia,Location,Laharia
South-Laharia,South-Laharia,Location,Laharia
West-Laharia,West-Laharia,Location,Laharia
North-Californi,North-Californi,Location,Californi
East-Californi,East-Californi,Location,Californi
South-Californi,South-Californi,Location,Californi
West-Californi,West-Californi,Location,Californi
North-Funkatrali,North-Funkatrali,Location,Funkatrali
East-Funkatrali,East-Funkatrali,Location,Funkatrali
South-Funkatrali,South-Funkatrali,Location,Funkatrali
West-Funkatrali,West-Funkatrali,Location,Funkatrali
North-Kergueland,North-Kergueland,Location,Kergueland
East-Kergueland,East-Kergueland,Location,Kergueland
South-Kergueland,South-Kergueland,Location,Kergueland
West-Kergueland,West-Kergueland,Location,Kergueland
North-Finlandi,North-Finlandi,Location,Finlandi
East-Finlandi,East-Finlandi,Location,Finlandi
South-Finlandi,South-Finlandi,Location,Finlandi
West-Finlandi,West-Finlandi,Location,Finlandi
North-Brittai,North-Brittai,Location,Brittai
East-Brittai,East-Brittai,Location,Brittai
South-Brittai,South-Brittai,Location,Brittai
West-Brittai,West-Brittai,Location,Brittai
North-Dorcheste,North-Dorcheste,Location,Dorcheste
East-Dorcheste,East-Dorcheste,Location,Dorcheste
South-Dorcheste,South-Dorcheste,Location,Dorcheste
West-Dorcheste,West-Dorcheste,Location,Dorcheste
North-Freedondwana,North-Freedondwana,Location,Freedondwana
East-Freedondwana,East-Freedondwana,Location,Freedondwana
South-Freedondwana,South-Freedondwana,Location,Freedondwana
West-Freedondwana,West-Freedondwana,Location,Freedondwana
North-Pannotica,North-Pannotica,Location,Pannotica
East-Pannotica,East-Pannotica,Location,Pannotica
South-Pannotica,South-Pannotica,Location,Pannotica
West-Pannotica,West-Pannotica,Location,Pannotica
North-Lauransylv,North-Lauransylv,Location,Lauransylv
East-Lauransylv,East-Lauransylv,Location,Lauransylv
South-Lauransylv,South-Lauransylv,Location,Lauransylv
West-Lauransylv,West-Lauransylv,Location,Lauransylv
North-Celesterland,North-Celesterland,Location,Celesterland
East-Celesterland,East-Celesterland,Location,Celesterland
South-Celesterland,South-Celesterland,Location,Celesterland
West-Celesterland,West-Celesterland,Location,Celesterland
North-Harbouropia,North-Harbouropia,Location,Harbouropia
East-Harbouropia,East-Harbouropia,Location,Harbouropia
South-Harbouropia,South-Harbouropia,Location,Harbouropia
West-Harbouropia,West-Harbouropia,Location,Harbouropia
North-Siberland,North-Siberland,Location,Siberland
East-Siberland,East-Siberland,Location,Siberland
South-Siberland,South-Siberland,Location,Siberland
West-Siberland,West-Siberland,Location,Siberland
North-Panemurentia,North-Panemurentia,Location,Panemurentia
East-Panemurentia,East-Panemurentia,Location,Panemurentia
South-Panemurentia,South-Panemurentia,Location,Panemurentia
West-Panemurentia,West-Panemurentia,Location,Panemurentia
North-Kenormland,North-Kenormland,Location,Kenormland
East-Kenormland,East-Kenormland,Location,Kenormland
South-Kenormland,South-Kenormland,Location,Kenormland
West-Kenormland,West-Kenormland,Location,Kenormland
North-Cumber,North-Cumber,Location,Cumber
East-Cumber,East-Cumber,Location,Cumber
South-Cumber,South-Cumber,Location,Cumber
West-Cumber,West-Cumber,Location,Cumber
North-Balticelia,North-Balticelia,Location,Balticelia
East-Balticelia,East-Balticelia,Location,Balticelia
South-Balticelia,South-Balticelia,Location,Balticelia
West-Balticelia,West-Balticelia,Location,Balticelia
North-Haria,North-Haria,Location,Haria
East-Haria,East-Haria,Location,Haria
South-Haria,South-Haria,Location,Haria
West-Haria,West-Haria,Location,Haria
North-Pacificali,North-Pacificali,Location,Pacificali
East-Pacificali,East-Pacificali,Location,Pacificali
South-Pacificali,South-Pacificali,Location,Pacificali
West-Pacificali,West-Pacificali,Location,Pacificali
North-Harbouria,North-Harbouria,Location,Harbouria
East-Harbouria,East-Harbouria,Location,Harbouria
South-Harbouria,South-Harbouria,Location,Harbouria
West-Harbouria,West-Harbouria,Location,Harbouria
North-Atlandinia,North-Atlandinia,Location,Atlandinia
East-Atlandinia,East-Atlandinia,Location,Atlandinia
South-Atlandinia,South-Atlandinia,Location,Atlandinia
West-Atlandinia,West-Atlandinia,Location,Atlandinia
North-Antica,North-Antica,Location,Antica
East-Antica,East-Antica,Location,Antica
South-Antica,South-Antica,Location,Antica
West-Antica,West-Antica,Location,Antica
North-Gondwanem,North-Gondwanem,Location,Gondwanem
East-Gondwanem,East-Gondwanem,Location,Gondwanem
South-Gondwanem,South-Gondwanem,Location,Gondwanem
West-Gondwanem,West-Gondwanem,Location,Gondwanem
North-Spotsy,North-Spotsy,Location,Spotsy
East-Spotsy,East-Spotsy,Location,Spotsy
South-Spotsy,South-Spotsy,Location,Spotsy
West-Spotsy,West-Spotsy,Location,Spotsy
North-Arbour,North-Arbour,Location,Arbour
East-Arbour,East-Arbour,Location,Arbour
South-Arbour,South-Arbour,Location,Arbour
West-Arbour,West-Arbour,Location,Arbour
North-Harboreedonia,North-Harboreedonia,Location,Harboreedonia
East-Harboreedonia,East-Harboreedonia,Location,Harboreedonia
South-Harboreedonia,South-Harboreedonia,Location,Harboreedonia
West-Harboreedonia,West-Harboreedonia,Location,Harboreedonia
North-Lauralifo,North-Lauralifo,Location,Lauralifo
East-Lauralifo,East-Lauralifo,Location,Lauralifo
South-Lauralifo,South-Lauralifo,Location,Lauralifo
West-Lauralifo,West-Lauralifo,Location,Lauralifo
North-Pannorland,North-Pannorland,Location,Pannorland
East-Pannorland,East-Pannorland,Location,Pannorland
South-Pannorland,South-Pannorland,Location,Pannorland
West-Pannorland,West-Pannorland,Location,Pannorland
North-Congondlantica,North-Congondlantica,Location,Congondlantica
East-Congondlantica,East-Congondlantica,Location,Congondlantica
South-Congondlantica,South-Congondlantica,Location,Congondlantica
West-Congondlantica,West-Congondlantica,Location,Congondlantica
North-Celestica,North-Celestica,Location,Celestica
East-Celestica,East-Celestica,Location,Celestica
South-Celestica,South-Celestica,Location,Celestica
West-Celestica,West-Celestica,Location,Celestica
North-Westerlantis,North-Westerlantis,Location,Westerlantis
East-Westerlantis,East-Westerlantis,Location,Westerlantis
South-Westerlantis,South-Westerlantis,Location,Westerlantis
West-Westerlantis,West-Westerlantis,Location,Westerlantis
North-Oceani,North-Oceani,Location,Oceani
East-Oceani,East-Oceani,Location,Oceani
South-Oceani,South-Oceani,Location,Oceani
West-Oceani,West-Oceani,Location,Oceani
North-Rockda,North-Rockda,Location,Rockda
East-Rockda,East-Rockda,Location,Rockda
South-Rockda,South-Rockda,Location,Rockda
West-Rockda,West-Rockda,Location,Rockda
North-Istopi,North-Istopi,Location,Istopi
East-Istopi,East-Istopi,Location,Istopi
South-Istopi,South-Istopi,Location,Istopi
West-Istopi,West-Istopi,Location,Istopi
North-Arcalifo,North-Arcalifo,Location,Arcalifo
East-Arcalifo,East-Arcalifo,Location,Arcalifo
South-Arcalifo,South-Arcalifo,Location,Arcalifo
West-Arcalifo,West-Arcalifo,Location,Arcalifo
Caledonistanem,Caledonistanem,Location,North-Atron
Columber,Columber,Location,North-Atron
Laurasiberia,Laurasiberia,Location,Atron
Harbou,Harbou,Location,Atron
Siberica,Siberica,Location,South-Atron
Ledonia,Ledonia,Location,Atron
Caledorc,Caledorc,Location,South-Atron
Etowanavani,Etowanavani,Location,South-Atron
Brittaindinia,Brittaindinia,Location,South-Atron
Siberlauropia,Siberlauropia,Location,South-Atron
Chestia,Chestia,Location,West-Indinia
Europ,Europ,Location,North-Indinia
Arcticelester,Arcticelester,Location,East-Indinia
Ropersia,Ropersia,Location,East-Indinia
Atlania,Atlania,Location,North-Indinia
Congondwana,Congondwana,Location,North-Indinia
Pacificeland,Pacificeland,Location,West-Indinia
Etowa,Etowa,Location,South-Indinia
Aria,Aria,Location,North-Indinia
Arbou,Arbou,Location,West-Indinia
Finlantic,Finlantic,Location,Hinterlantis
Spotsylvada,Spotsylvada,Location,East-Hinterlantis
Cimmerica,Cimmerica,Location,South-Hinterlantis
Nevadia,Nevadia,Location,South-Hinterlantis
Americ,Americ,Location,East-Hinterlantis
Brittani,Brittani,Location,East-Hinterlantis
Kalaharctica,Kalaharctica,Location,South-Hinterlantis:West-Hinterlantis
Panglandia,Panglandia,Location,West-Hinterlantis
Columbi,Columbi,Location,South-Hinterlantis
Cumbia,Cumbia,Location,East-Hinterlantis
Celandia,Celandia,Location,Acherokee
Cadinister,Cadinister,Location,West-Acherokee
Tranemuri,Tranemuri,Location,West-Acherokee
Arbormland,Arbormland,Location,West-Acherokee:East-Acherokee
Laharborea,Laharborea,Location,South-Acherokee
Island,Island,Location,South-Acherokee
Iston,Iston,Location,North-Acherokee
Donistransylv,Donistransylv,Location,North-Acherokee
Brittania,Brittania,Location,East-Acherokee
Eurodinia,Eurodinia,Location,West-Acherokee
Icelandwana,Icelandwana,Location,East-Finlantica
Polansylv,Polansylv,Location,Finlantica
Gondwania,Gondwania,Location,South-Finlantica
Spots,Spots,Location,East-Finlantica:South-Finlantica
Na,Na,Location,North-Finlantica
Harbore,Harbore,Location,East-Finlantica:North-Finlantica
Utaharcadia,Utaharcadia,Location,North-Finlantica
Brittailandia,Brittailandia,Location,East-Finlantica
Newfoundlantis,Newfoundlantis,Location,West-Finlantica
Cificale,Cificale,Location,South-Finlantica
Newfoun,Newfoun,Location,South-Laharia
Austransy,Austransy,Location,South-Laharia
Cimmerittain,Cimmerittain,Location,South-Laharia:West-Laharia
Kazakhst,Kazakhst,Location,Laharia
Brittainland,Brittainland,Location,West-Laharia
Chesterland,Chesterland,Location,North-Laharia
Rokenorlandia,Rokenorlandia,Location,East-Laharia
Polandia,Polandia,Location,South-Laharia
Arcticadia,Arcticadia,Location,South-Laharia
Navadale,Navadale,Location,North-Laharia
Kumarctic,Kumarctic,Location,South-Californi
Arborchina,Arborchina,Location,Californi
Europia,Europia,Location,Californi
Panemuri,Panemuri,Location,West-Californi
Sto,Sto,Location,South-Californi
Kenorlantis,Kenorlantis,Location,West-Californi:North-Californi
Ecotopi,Ecotopi,Location,East-Californi
Vania,Vania,Location,East-Californi
Ecotia,Ecotia,Location,West-Californi:North-Californi
Cadia,Cadia,Location,West-Californi
Stangaea,Stangaea,Location,West-Funkatrali
Lemurasia,Lemurasia,Location,North-Funkatrali:South-Funkatrali
Avaliforni,Avaliforni,Location,West-Funkatrali
Caledon,Caledon,Location,South-Funkatrali
Finlandia,Finlandia,Location,East-Funkatrali
Oceandia,Oceandia,Location,North-Funkatrali
Kalaharca,Kalaharca,Location,South-Funkatrali
Kenotica,Kenotica,Location,North-Funkatrali
Thailandia,Thailandia,Location,South-Funkatrali:East-Funkatrali
Nevad,Nevad,Location,East-Funkatrali
Tralia,Tralia,Location,Kergueland
Lemur,Lemur,Location,North-Kergueland
Harborealaur,Harborealaur,Location,West-Kergueland
Baltic,Baltic,Location,Kergueland
Arboundwan,Arboundwan,Location,East-Kergueland
Lemuri,Lemuri,Location,West-Kergueland
Atlanticalifor,Atlanticalifor,Location,Kergueland
Avajo,Avajo,Location,North-Kergueland
Calesti,Calesti,Location,West-Kergueland:South-Kergueland
Navaj,Navaj,Location,East-Kergueland
Landia,Landia,Location,North-Finlandi
Cimmeric,Cimmeric,Location,West-Finlandi
Zealifor,Zealifor,Location,North-Finlandi
Hinter,Hinter,Location,North-Finlandi
Gon,Gon,Location,West-Finlandi
Atlandlantis,Atlandlantis,Location,Finlandi
Cotopi,Cotopi,Location,North-Finlandi:East-Finlandi
